MSN,YYYY,MM,Value,Column_Order,Description,Unit
FFTCBUS,1973,1,6.747651,4,Total Fossil Fuels Consumption,Quadrillion Btu
FFTCBUS,1973,2,6.163095,4,Total Fossil Fuels Consumption,Quadrillion Btu
FFTCBUS,1973,3,6.044647,4,Total Fossil Fuels Consumption,Quadrillion Btu
FFTCBUS,1973,4,5.493184,4,Total Fossil Fuels Consumption,Quadrillion Btu
FFTCBUS,1973,5,5.613551,4,Total Fossil Fuels Consumption,Quadrillion Btu
FFTCBUS,1973,6,5.347479,4,Total Fossil Fuels Consumption,Quadrillion Btu
FFTCBUS,1973,7,5.504556,4,Total Fossil Fuels Consumption,Quadrillion Btu
FFTCBUS,1973,8,5.748879,4,Total Fossil Fuels Consumption,Quadrillion Btu
FFTCBUS,1973,9,5.376782,4,Total Fossil Fuels Consumption,Quadrillion Btu
FFTCBUS,1973,10,5.7653,4,Total Fossil Fuels Consumption,Quadrillion Btu
FFTCBUS,1973,11,6.08844,4,Total Fossil Fuels Consumption,Quadrillion Btu
FFTCBUS,1973,12,6.388515,4,Total Fossil Fuels Consumption,Quadrillion Btu
FFTCBUS,1973,13,70.28245,4,Total Fossil Fuels Consumption,Quadrillion Btu
FFTCBUS,1974,1,6.378043,4,Total Fossil Fuels Consumption,Quadrillion Btu
FFTCBUS,1974,2,5.820458,4,Total Fossil Fuels Consumption,Quadrillion Btu
FFTCBUS,1974,3,5.845649,4,Total Fossil Fuels Consumption,Quadrillion Btu
FFTCBUS,1974,4,5.355618,4,Total Fossil Fuels Consumption,Quadrillion Btu
FFTCBUS,1974,5,5.359907,4,Total Fossil Fuels Consumption,Quadrillion Btu
FFTCBUS,1974,6,5.150392,4,Total Fossil Fuels Consumption,Quadrillion Btu
FFTCBUS,1974,7,5.458003,4,Total Fossil Fuels Consumption,Quadrillion Btu
FFTCBUS,1974,8,5.488069,4,Total Fossil Fuels Consumption,Quadrillion Btu
FFTCBUS,1974,9,5.230848,4,Total Fossil Fuels Consumption,Quadrillion Btu
FFTCBUS,1974,10,5.713389,4,Total Fossil Fuels Consumption,Quadrillion Btu
FFTCBUS,1974,11,5.757535,4,Total Fossil Fuels Consumption,Quadrillion Btu
FFTCBUS,1974,12,6.314029,4,Total Fossil Fuels Consumption,Quadrillion Btu
FFTCBUS,1974,13,67.872076,4,Total Fossil Fuels Consumption,Quadrillion Btu
FFTCBUS,1975,1,6.508066,4,Total Fossil Fuels Consumption,Quadrillion Btu
FFTCBUS,1975,2,5.658866,4,Total Fossil Fuels Consumption,Quadrillion Btu
FFTCBUS,1975,3,5.794307,4,Total Fossil Fuels Consumption,Quadrillion Btu
FFTCBUS,1975,4,5.244039,4,Total Fossil Fuels Consumption,Quadrillion Btu
FFTCBUS,1975,5,4.917011,4,Total Fossil Fuels Consumption,Quadrillion Btu
FFTCBUS,1975,6,4.881923,4,Total Fossil Fuels Consumption,Quadrillion Btu
FFTCBUS,1975,7,5.099561,4,Total Fossil Fuels Consumption,Quadrillion Btu
FFTCBUS,1975,8,5.199413,4,Total Fossil Fuels Consumption,Quadrillion Btu
FFTCBUS,1975,9,4.996158,4,Total Fossil Fuels Consumption,Quadrillion Btu
FFTCBUS,1975,10,5.377048,4,Total Fossil Fuels Consumption,Quadrillion Btu
FFTCBUS,1975,11,5.309492,4,Total Fossil Fuels Consumption,Quadrillion Btu
FFTCBUS,1975,12,6.337521,4,Total Fossil Fuels Consumption,Quadrillion Btu
FFTCBUS,1975,13,65.32299,4,Total Fossil Fuels Consumption,Quadrillion Btu
FFTCBUS,1976,1,6.710216,4,Total Fossil Fuels Consumption,Quadrillion Btu
FFTCBUS,1976,2,5.836128,4,Total Fossil Fuels Consumption,Quadrillion Btu
FFTCBUS,1976,3,5.807521,4,Total Fossil Fuels Consumption,Quadrillion Btu
FFTCBUS,1976,4,5.334664,4,Total Fossil Fuels Consumption,Quadrillion Btu
FFTCBUS,1976,5,5.243322,4,Total Fossil Fuels Consumption,Quadrillion Btu
